timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,
2050-01-03 18:00:00+00:00,0,17559.829,16711.063,1135.0856,2538.33653129701,32867.6412373795,0,,,,
2050-01-03 19:00:00+00:00,0,17559.829,16711.063,633.18434,2708.23590481121,32195.8406195886,0,,,,
2050-01-03 20:00:00+00:00,0,16699.459,16711.063,0,2858.91507171653,30551.6063410115,0,,,,
2050-01-03 21:00:00+00:00,0,13729.03,16711.063,0,2551.75441138242,27888.3384667569,0,,,,
2050-01-03 22:00:00+00:00,0,8560.5612,16711.063,-326.15302,1873.42617625263,23072.0448069019,0,,,,
2050-01-03 23:00:00+00:00,0,4175.8621,16711.063,0,1119.12372820666,19767.8011745122,0,,,,
2050-01-04 00:00:00+00:00,0,4569.151,16711.063,0,765.725778388972,20514.4880689961,0,,,,
2050-01-04 01:00:00+00:00,0,6437.19,16711.063,-1350,880.140404522868,20918.1124077822,0,,,,
2050-01-04 02:00:00+00:00,0,6928.9372,16711.063,-1350,851.128771905716,21438.8712132601,0,,,,
2050-01-04 03:00:00+00:00,0,8980.7859,16099.823,-1350,964.455461816467,22766.1534054948,0,,,,
2050-01-04 04:00:00+00:00,0,15082.511,12885.117,-1350,1655.83893162399,24961.7900265017,0,,,,
2050-01-04 05:00:00+00:00,3823.7176,17559.829,12290.565,1350,3483.02781839303,31541.0843359603,0,,,,
2050-01-04 06:00:00+00:00,9947.0425,17559.829,13079.08,1350,4568.24420097841,37367.7081017076,0,,,,
2050-01-04 07:00:00+00:00,9941.7989,17559.829,11473.635,1350,4302.96908523531,36022.2936390872,0,,,,
2050-01-04 08:00:00+00:00,12087.287,17559.829,9063.5965,1350,3363.35483384728,36697.3580655475,0,,,,
2050-01-04 09:00:00+00:00,12087.287,17559.829,7453.6322,1350,3236.79158655496,35213.9570252917,0,,,,
2050-01-04 10:00:00+00:00,12087.287,17559.829,5841.8547,1350,3014.85259703374,33824.1185002263,0,,,,
2050-01-04 11:00:00+00:00,12087.287,17559.829,4418.8341,1350,2975.142924889,32440.8075924997,0,,,,
2050-01-04 12:00:00+00:00,12087.287,17559.829,3524.0065,1350,2881.94305510639,31639.179918747,0,,,,
2050-01-04 13:00:00+00:00,12087.287,17559.829,3015.5777,1350,2390.92117306109,31621.7729391768,0,,,,
2050-01-04 14:00:00+00:00,12087.287,17559.829,3342.6838,1350,2299.53453031705,32040.2657396792,0,,,,
2050-01-04 15:00:00+00:00,12087.287,17559.829,3870.8769,1350,2089.74416195428,32778.2491443779,0,,,,
2050-01-04 16:00:00+00:00,12087.287,17559.829,5142.6743,1350,2230.63190285132,33909.1588483354,0,,,,
2050-01-04 17:00:00+00:00,12087.287,17559.829,5875.218,1350,2532.35288206971,34339.9815927,0,,,,
2050-01-04 18:00:00+00:00,12087.287,17559.829,5693.714,1350,2530.17700962342,34160.6534385853,0,,,,
2050-01-04 19:00:00+00:00,12087.287,17559.829,5272.864,1350,2693.91141120647,33576.0690413496,0,,,,
2050-01-04 20:00:00+00:00,12087.287,17559.829,3989.2806,1350,2825.73301691066,32160.6640150403,0,,,,
2050-01-04 21:00:00+00:00,12087.287,17559.829,735.98864,1350,2523.46806958071,29209.6370097644,0,,,,
2050-01-04 22:00:00+00:00,10000.367,17559.829,0,-1350,1847.49702960105,24362.6998129575,0,,,,
2050-01-04 23:00:00+00:00,12087.287,11377.011,0,-1350,1098.99690807851,21015.3013770497,0,,,,
2050-01-05 00:00:00+00:00,7231.9324,17559.829,0,-1350,763.368583238828,22678.393216828,0,,,,
2050-01-05 01:00:00+00:00,7602.3747,17559.829,0,-1350,876.513950445723,22935.6901336013,0,,,,
2050-01-05 02:00:00+00:00,8103.5507,17559.829,0,-1350,847.683640532428,23465.6963969759,0,,,,
2050-01-05 03:00:00+00:00,9564.1051,17559.829,0,-1350,961.010330443182,24812.924086635,0,,,,
2050-01-05 04:00:00+00:00,12087.287,17559.829,0,-1183.985,1651.1245413237,26812.0068966605,0,,,,
2050-01-05 05:00:00+00:00,12087.287,17559.829,6026.2598,1350,3474.68697401561,33548.6893130672,0,,,,
2050-01-05 06:00:00+00:00,12087.287,17559.829,14073.724,1350,4560.08467930482,40510.7558503684,0,,,,
2050-01-05 07:00:00+00:00,12087.287,17559.829,11983.073,1350,4294.80956356174,38685.3801906379,0,,,,
2050-01-05 08:00:00+00:00,12087.287,17559.829,11733.392,1350,3356.28324839685,39374.2251425914,0,,,,
2050-01-05 09:00:00+00:00,12087.287,17559.829,9912.1867,1350,3230.98926003151,37678.313893415,0,,,,
2050-01-05 10:00:00+00:00,12087.287,17559.829,8268.4964,1350,3008.86894780644,36256.7438951745,0,,,,
2050-01-05 11:00:00+00:00,12087.287,17559.829,6785.2767,1350,2969.34059836557,34813.0525270635,0,,,,
2050-01-05 12:00:00+00:00,12087.287,17559.829,5812.4804,1350,2875.95940587912,33933.6374133561,0,,,,
2050-01-05 13:00:00+00:00,12087.287,17559.829,5197.4338,1350,2386.2067827608,33808.3434249907,0,,,,
2050-01-05 14:00:00+00:00,12087.287,17559.829,5474.8575,1350,2295.90807623992,34176.0658684131,0,,,,
2050-01-05 15:00:00+00:00,12087.287,17559.829,6151.7352,1350,2085.02977165399,35063.821826498,0,,,,
2050-01-05 16:00:00+00:00,12087.287,17559.829,7484.457,1350,2228.27470770118,36253.2987638012,0,,,,
2050-01-05 17:00:00+00:00,12087.287,17559.829,8287.7166,1350,2528.90775069643,36755.9252988934,0,,,,
