timeindex,ashp_SDE,gshp_SDE,chp_SDE,tes_SDE,dhw_SDE,space_SDE,excess_heat_SDE
2050-12-14 00:00:00+00:00,0.0,66093.333,0.0,-13120.0,3446.6314167612118,49526.701707454864,0.0
2050-12-14 01:00:00+00:00,0.0,68982.445,0.0,-13120.0,3957.48604955433,51904.9592527494,0.0
2050-12-14 02:00:00+00:00,0.0,70228.472,0.0,-13120.0,3827.316359467623,53281.15578756575,0.0
2050-12-14 03:00:00+00:00,0.0,76374.283,0.0,-13120.0,4338.989669556871,58915.292939620136,0.0
2050-12-14 04:00:00+00:00,0.0,82121.489,0.0,-5033.1977,7454.875458676393,69633.41610072192,0.0
2050-12-14 05:00:00+00:00,0.0,92881.277,0.0,12575.82,15688.313025984644,89768.78419935415,0.0
2050-12-14 06:00:00+00:00,0.0,114569.28,0.0,11590.528,20588.915320695487,105570.89336950204,0.0
2050-12-14 07:00:00+00:00,12564.814,123275.73,0.0,-13120.0,19391.19043643854,103329.35493266332,0.0
2050-12-14 08:00:00+00:00,8528.7354,123275.73,0.0,-13120.0,15153.71675160338,103530.74954751454,0.0
2050-12-14 09:00:00+00:00,982.98674,123275.73,0.0,-13120.0,14588.010739968664,96550.706920601,0.0
2050-12-14 10:00:00+00:00,0.0,117658.54,0.0,-13120.0,13585.131052193743,90953.41024687243,0.0
2050-12-14 11:00:00+00:00,0.0,112682.62,0.0,-13120.0,13406.659401634615,86155.96129147567,0.0
2050-12-14 12:00:00+00:00,0.0,110184.84,0.0,-13120.0,12985.040594121092,84079.79566845752,0.0
2050-12-14 13:00:00+00:00,0.0,109265.46,0.0,-13120.0,10773.793217239367,85371.66844177089,0.0
2050-12-14 14:00:00+00:00,0.0,110273.25,0.0,-13120.0,10366.091923760185,86787.161486802,0.0
2050-12-14 15:00:00+00:00,0.0,112320.77,0.0,-13120.0,9413.970228346094,89786.79509986927,0.0
2050-12-14 16:00:00+00:00,0.0,116708.06,0.0,-13120.0,10060.725292298976,93527.33166594557,0.0
2050-12-14 17:00:00+00:00,0.0,120911.96,0.0,-13120.0,11418.092249303694,96373.87262463395,0.0
2050-12-14 18:00:00+00:00,20786.046,101312.18,0.0,-13120.0,11407.449444453836,97570.77883159474,0.0
2050-12-14 19:00:00+00:00,0.0,122232.49,0.0,-13120.0,12141.802979093945,96970.68837352209,0.0
2050-12-14 20:00:00+00:00,0.0,119128.89,0.0,-13120.0,12742.712114462814,93266.173608476,0.0
2050-12-14 21:00:00+00:00,0.0,108595.78,0.0,-13120.0,11377.158384496599,84098.62524626909,0.0
2050-12-14 22:00:00+00:00,0.0,86396.53,0.0,-13120.0,8325.948101772337,64950.581966784914,0.0
2050-12-14 23:00:00+00:00,0.0,71054.518,0.0,-13120.0,4946.448223294833,52988.06931554648,0.0
2050-12-15 00:00:00+00:00,26863.947,40981.356,0.0,-13120.0,3457.2742216110705,51268.028316350494,0.0
