timeindex,ashp_NDE,gshp_NDE,chp_NDE,tes_NDE,dhw_NDE,space_NDE,excess_heat_NDE,,,,,
2050-01-04 20:00:00+00:00,14334.729,18646.874,1104.7942,900,2825.73301691066,32160.6640150403,0,,,,,
2050-01-04 21:00:00+00:00,13986.231,18646.874,0,-900,2523.46806958071,29209.6370097644,0,,,,,
2050-01-04 22:00:00+00:00,14334.729,12775.468,0,-900,1847.49702960105,24362.6998129575,0,,,,,
2050-01-04 23:00:00+00:00,4367.424,18646.874,0,-900,1098.99690807851,21015.3013770497,0,,,,,
2050-01-05 00:00:00+00:00,5694.8875,18646.874,0,-900,763.368583238828,22678.393216828,0,,,,,
2050-01-05 01:00:00+00:00,6065.3298,18646.874,0,-900,876.513950445723,22935.6901336013,0,,,,,
2050-01-05 02:00:00+00:00,6566.5057,18646.874,0,-900,847.683640532428,23465.6963969759,0,,,,,
2050-01-05 03:00:00+00:00,14334.729,12339.206,0,-900,961.010330443182,24812.924086635,0,,,,,
2050-01-05 04:00:00+00:00,10716.257,18646.874,0,-900,1651.1245413237,26812.0068966605,0,,,,,
2050-01-05 05:00:00+00:00,14334.729,18646.874,3141.7734,900,3474.68697401561,33548.6893130672,0,,,,,
2050-01-05 06:00:00+00:00,14334.729,18646.874,11189.238,900,4560.08467930482,40510.7558503684,0,,,,,
2050-01-05 07:00:00+00:00,14334.729,18646.874,9098.5869,900,4294.80956356174,38685.3801906379,0,,,,,
2050-01-05 08:00:00+00:00,14334.729,18646.874,8848.9055,900,3356.28324839685,39374.2251425914,0,,,,,
2050-01-05 09:00:00+00:00,14334.729,18646.874,7027.7003,900,3230.98926003151,37678.313893415,0,,,,,
2050-01-05 10:00:00+00:00,14334.729,18646.874,5384.01,900,3008.86894780644,36256.7438951745,0,,,,,
2050-01-05 11:00:00+00:00,14334.729,18646.874,3900.7902,900,2969.34059836557,34813.0525270635,0,,,,,
2050-01-05 12:00:00+00:00,14334.729,18646.874,2927.9939,900,2875.95940587912,33933.6374133561,0,,,,,
2050-01-05 13:00:00+00:00,14334.729,18646.874,2312.9473,900,2386.2067827608,33808.3434249907,0,,,,,
2050-01-05 14:00:00+00:00,14334.729,18646.874,2590.3711,900,2295.90807623992,34176.0658684131,0,,,,,
2050-01-05 15:00:00+00:00,14334.729,18646.874,3267.2487,900,2085.02977165399,35063.821826498,0,,,,,
2050-01-05 16:00:00+00:00,14334.729,18646.874,4599.9706,900,2228.27470770118,36253.2987638012,0,,,,,
2050-01-05 17:00:00+00:00,14334.729,18646.874,5403.2302,900,2528.90775069643,36755.9252988934,0,,,,,
2050-01-05 18:00:00+00:00,14334.729,18646.874,5046.9311,900,2526.55055554629,36401.9833809641,0,,,,,
2050-01-05 19:00:00+00:00,14334.729,18646.874,4664.7028,900,2689.19702090618,35857.1086558733,0,,,,,
2050-01-05 20:00:00+00:00,14334.729,18646.874,3302.788,900,2822.28788553738,34362.1029625706,0,,,,,
2050-01-05 21:00:00+00:00,14334.729,18646.874,0,892.01672,2519.84161550356,31353.7779828758,0,,,,,
2050-01-05 22:00:00+00:00,14334.729,15108.548,0,-900,1844.05189822776,26699.2241748614,0,,,,,
2050-01-05 23:00:00+00:00,6489.0809,18646.874,0,-900,1095.55177670523,23140.4034662561,0,,,,,
2050-01-06 00:00:00+00:00,2277.6798,18646.874,0,-900,765.725778388972,19258.828344785,0,,,,,
2050-01-06 01:00:00+00:00,2837.967,18646.874,0,-900,880.140404522868,19704.7008735699,0,,,,,
2050-01-06 02:00:00+00:00,3315.3896,18646.874,0,-900,851.128771905716,20211.135185443,0,,,,,
2050-01-06 03:00:00+00:00,4730.2507,18646.874,0,-900,964.455461816467,21512.66955373,0,,,,,
2050-01-06 04:00:00+00:00,14334.729,11950.45,0,-900,1655.83893162399,23729.3396083842,0,,,,,
2050-01-06 05:00:00+00:00,14334.729,18646.874,0,621.84589,3483.02781839303,30120.420951239,0,,,,,
