timeindex,acaes_NDE,li-ion_NDE,li-ion_SDE,phs_NDE,phs_SDE,tes_NDE,tes_SDE
2050-01-05 22:00:00+00:00,0.0,0.0,0.0,588.42667,9469.277,11898.931,41625.522
2050-01-05 23:00:00+00:00,0.0,0.0,0.0,588.42667,9469.277,12708.931,45315.522
2050-01-06 00:00:00+00:00,0.0,0.0,11615.884,588.42667,9469.277,13518.931,49005.522
2050-01-06 01:00:00+00:00,0.0,0.0,11615.884,588.42667,9469.277,14328.931,52695.522
2050-01-06 02:00:00+00:00,0.0,0.0,20946.261,588.42667,9469.277,15138.931,56385.522
2050-01-06 03:00:00+00:00,0.0,2701.9715,33255.242,588.42667,9469.277,15948.931,60075.522
2050-01-06 04:00:00+00:00,0.0,3407.0383,45564.223,588.42667,9469.277,16758.931,63765.522
2050-01-06 05:00:00+00:00,0.0,6109.0098,45564.223,588.42667,9469.277,16067.991,60607.485
2050-01-06 06:00:00+00:00,0.0,8810.9813,57873.205,588.42667,9469.277,15067.991,56051.93
2050-01-06 07:00:00+00:00,0.0,11512.953,57873.205,588.42667,9469.277,14067.991,51496.374
2050-01-06 08:00:00+00:00,0.0,11512.953,57873.205,590.92,9529.6083,13067.991,46940.819
2050-01-06 09:00:00+00:00,0.0,14214.924,57873.205,600.55333,9762.7067,12067.991,42385.263
2050-01-06 10:00:00+00:00,247.77611,16916.896,70182.186,619.31,10216.563,11067.991,37829.708
2050-01-06 11:00:00+00:00,495.55222,17962.832,80885.928,642.31667,10773.257,10123.804,33528.252
2050-01-06 12:00:00+00:00,580.0,18310.5,80885.928,661.69667,11242.196,10116.451,33456.629
2050-01-06 13:00:00+00:00,580.0,15373.574,67506.6,670.65,11458.84,9116.4506,30064.748
2050-01-06 14:00:00+00:00,580.0,12436.649,54127.273,671.67,11483.521,8116.4506,25509.192
2050-01-06 15:00:00+00:00,240.58067,9499.7234,40747.946,671.67,11483.521,7116.4506,20953.637
2050-01-06 16:00:00+00:00,240.58067,6562.7979,27368.618,671.67,11483.521,6116.4506,16398.081
2050-01-06 17:00:00+00:00,0.0,3625.8724,13989.291,671.67,11483.521,5116.4506,11842.525
2050-01-06 18:00:00+00:00,0.0,3581.8742,1774.5369,671.67,11483.521,4116.4506,7286.9699
2050-01-06 19:00:00+00:00,0.0,644.94864,0.0,671.67,11483.521,3116.4506,2731.4143
2050-01-06 20:00:00+00:00,0.0,0.0,0.0,671.67,11483.521,2520.0,0.0
2050-01-06 21:00:00+00:00,0.0,1053.1826,9728.5397,671.67,11483.521,3330.0,3690.0
2050-01-06 22:00:00+00:00,0.0,3755.1541,22037.521,671.67,11483.521,4140.0,7380.0
2050-01-06 23:00:00+00:00,0.0,6457.1256,34346.502,671.67,11483.521,4950.0,11070.0
2050-01-07 00:00:00+00:00,0.0,9159.0971,46655.483,671.67,11483.521,5760.0,14760.0
2050-01-07 01:00:00+00:00,247.77611,11861.069,58964.464,671.67,11483.521,6570.0,18450.0
2050-01-07 02:00:00+00:00,332.22389,14563.04,71105.519,671.67,11483.521,7380.0,22140.0
2050-01-07 03:00:00+00:00,580.0,17265.012,83414.5,671.67,11483.521,8190.0,25830.0
2050-01-07 04:00:00+00:00,580.0,18310.5,83414.5,671.67,11483.521,9000.0,29520.0
2050-01-07 05:00:00+00:00,580.0,18310.5,82738.887,671.67,11483.521,9000.0,29520.0
2050-01-07 06:00:00+00:00,580.0,17621.553,83414.5,671.67,11483.521,8000.0,24964.444
2050-01-07 07:00:00+00:00,580.0,14684.628,70035.173,671.67,11483.521,7000.0,20408.889
2050-01-07 08:00:00+00:00,240.58067,11747.702,56655.845,370.10152,2174.3917,6000.0,18268.823
2050-01-07 09:00:00+00:00,240.58067,8810.7766,43276.518,0.0,0.0,5000.0,13713.267
2050-01-07 10:00:00+00:00,240.58067,5873.851,29897.19,34.17,0.0,4000.0,13713.267
2050-01-07 11:00:00+00:00,240.58067,2936.9255,16517.863,65.96,0.0,3000.0,13713.267
2050-01-07 12:00:00+00:00,0.0,0.0,3138.5357,0.0,515.55867,2000.0,13713.267
2050-01-07 13:00:00+00:00,0.0,0.0,0.0,9.69,750.02817,2000.0,13713.267
2050-01-07 14:00:00+00:00,0.0,0.0,0.0,11.163333,785.6785,2000.0,13713.267
2050-01-07 15:00:00+00:00,0.0,0.0,0.0,11.163333,785.6785,1000.0,9157.7119
2050-01-07 16:00:00+00:00,0.0,0.0,0.0,11.163333,-1.1368684e-13,0.0,9157.7119
