timeindex,hydro_SDE,onshore_SDE,pv_SDE,chp_SDE,li-ion_SDE,phs_SDE,import,electricity_SDE,excess_SDE
2050-01-04 10:00:00+00:00,2607.6789,4579.2786,57078.555,22219.041,-12833.0,0.0,32000.0,66923.36032982562,0.0
2050-01-04 11:00:00+00:00,2617.9419,3505.3448,66925.053,14574.206,-12833.0,0.0,32000.0,67530.98084249334,0.0
2050-01-04 12:00:00+00:00,2628.2049,3494.4393,63375.643,15906.958,-12833.0,0.0,32000.0,67649.73400400442,0.0
2050-01-04 13:00:00+00:00,2638.4678,4294.6966,44912.486,25313.893,-10666.934,0.0,32000.0,66658.14486674278,0.0
2050-01-04 14:00:00+00:00,2648.7308,7082.3545,17676.994,30890.787,0.0,6906.2611,32000.0,65370.66238960496,0.0
2050-01-04 15:00:00+00:00,2658.9938,11464.295,505.94655,33275.594,8587.3997,8227.0,32000.0,64884.76395528978,0.0
2050-01-04 16:00:00+00:00,2669.2567,15512.319,0.0,39017.796,114.23277,8227.0,32000.0,65706.1401766876,0.0
2050-01-04 17:00:00+00:00,2679.5197,18471.869,0.0,42325.253,0.0,5705.7283,32000.0,69347.90463686823,0.0
2050-01-04 18:00:00+00:00,2689.7827,19674.072,0.0,41505.757,0.0,5207.8593,32000.0,69243.00600036065,0.0
2050-01-04 19:00:00+00:00,2700.0456,19172.419,0.0,39605.607,0.0,5988.3151,32000.0,67631.92104328598,0.0
2050-01-04 20:00:00+00:00,2710.3086,18958.982,0.0,33810.19,412.05495,8227.0,32000.0,64284.07070512382,0.0
2050-01-04 21:00:00+00:00,2720.5716,19268.491,0.0,19121.482,12383.166,8227.0,32000.0,61886.24583915911,0.0
2050-01-04 22:00:00+00:00,2730.8345,19666.802,0.0,12734.107,12833.0,8227.0,32000.0,61113.36054532674,0.0
2050-01-04 23:00:00+00:00,2741.0975,19517.76,0.0,6016.7479,12833.0,8227.0,32000.0,57276.642856007944,0.0
2050-01-05 00:00:00+00:00,2751.3605,19620.064,0.0,4701.5245,12833.0,8227.0,32000.0,54199.94563450223,0.0
2050-01-05 01:00:00+00:00,2767.2225,19746.257,0.0,13479.518,0.0,8227.0,32000.0,52108.89989668456,0.0
2050-01-05 02:00:00+00:00,2783.0845,19961.77,0.0,2446.7349,12833.0,8227.0,32000.0,50731.362826916644,0.0
2050-01-05 03:00:00+00:00,2798.9465,20217.271,0.0,13288.846,0.0,8227.0,32000.0,50100.98130888693,0.0
2050-01-05 04:00:00+00:00,2814.8085,20733.466,0.0,9873.1473,7179.5241,8227.0,32000.0,50407.76043703443,0.0
2050-01-05 05:00:00+00:00,2830.6705,21108.408,0.0,31499.947,0.0,0.0,32000.0,52384.011449055964,0.0
2050-01-05 06:00:00+00:00,2846.5325,21454.788,0.0,52941.405,0.0,0.0,20959.532,56671.99117012704,0.0
2050-01-05 07:00:00+00:00,2862.3945,22254.526,3891.8966,43502.055,0.0,0.0,31725.036,62705.6428426997,0.0
2050-01-05 08:00:00+00:00,2878.2565,21874.39,28784.467,42374.737,0.0,0.0,10724.852,65106.436535450724,0.0
2050-01-05 09:00:00+00:00,2894.1184,16889.53,56144.5,34151.942,-2511.1759,0.0,0.0,66038.64904692976,0.0
